# target (HOME-relative; one row per deployment-manifest target)	last_verified	client	how (what was observed - the client consuming the target, not the bytes being present; parity is weekly-integrity's job)
.agents/skills	2026-09-10	claude 2.1.267 / codex 0.154.0	all seven INSTALLED.txt skills listed with their descriptions in a Claude session's skill list; a codex exec read-only run listed experience-ledger, headroom-protocol, readable-zh-tw and task-observer and loaded evidence-debugging, evidence-ladder and test-first-change by explicit $name (allow_implicit_invocation false), all through the provider symlinks
.agents/scripts	2026-09-10	claude 2.1.267 / codex 0.154.0	both deployed resolvers import routing_core.py (check-pins and validate ran from the HOME copies); qc-gate-lines --help ran from ~/.agents/scripts
.agents/docs	2026-09-10	claude 2.1.267 / codex 0.154.0	no machine consumer: headroom-runtime.md is opened on demand by whoever headroom-protocol or setup.md sends there; parity only
.agents/README.md	2026-09-10	claude 2.1.267 / codex 0.154.0	human index of the shared tree; no machine consumer; parity only
.claude/CLAUDE.md	2026-09-10	claude 2.1.267	the session's system prompt carries the contract verbatim (Traditional Chinese replies, DECISION marker, main-session-only orchestration section all in force)
.claude/README.md	2026-09-10	claude 2.1.267	human index of ~/.claude; no machine consumer; parity only
.claude/RTK.md	2026-09-10	claude 2.1.267	named by the contract's RTK clause and opened on demand; no automatic consumer; parity only
.claude/settings.json	2026-09-10	claude 2.1.267	hook groups registered and firing: commit-test-gate blocked a Bash call this session (denials.jsonl 2026-09-10T07:18:42Z); statusLine command points at ~/.claude/sh/statusline.sh
.claude/model-routing.toml	2026-09-10	claude 2.1.267	~/.claude/scripts/model-routing check-pins read it: pins match profile balanced, 7 roles checked
.claude/agents	2026-09-10	claude 2.1.267	the Agent tool's role list in the session names executor, explore, mech-executor, plan-verifier, security-executor, security-reviewer and verifier with their frontmatter descriptions
.claude/hooks	2026-09-10	claude 2.1.267	commit-test-gate returned exit 2 on a real Bash call this session; weekly-integrity's stamp advanced on 2026-09-07; leaf-redispatch carrier re-observed 2026-09-05 (CARRIER_VALIDATED_ON)
.claude/prompts	2026-09-10	claude 2.1.267	manual paste into Claude App and Cowork settings; no machine consumer on this host; parity only
.claude/scripts	2026-09-10	claude 2.1.267	model-routing check-pins and prompt-bundle-report ran from ~/.claude/scripts; qc-gate-lines is the QC step's tool
.claude/sh	2026-09-10	claude 2.1.267	settings.json statusLine.command is ~/.claude/sh/statusline.sh, so the client runs it each turn
.claude/skills/baton-dispatch	2026-09-10	claude 2.1.267	listed with its description in the session's skill list and loaded by name from the contract's dispatch clause
.claude/skills/provider-routing	2026-09-10	claude 2.1.267	listed with its description in the session's skill list; named by the contract's cross-provider clause
.claude/skills/headroom-protocol	2026-09-10	claude 2.1.267	listed with its description in the session's skill list (the thin wrapper's frontmatter, shared body via shared-instructions.md)
.claude/skills/readable-zh-tw	2026-09-10	claude 2.1.267	listed with its description in the session's skill list through the symlink into ~/.agents/skills
.claude/skills/evidence-debugging	2026-09-10	claude 2.1.267	listed with its description in the session's skill list through the symlink into ~/.agents/skills
.claude/skills/test-first-change	2026-09-10	claude 2.1.267	listed with its description in the session's skill list through the symlink into ~/.agents/skills
.claude/skills/experience-ledger	2026-09-10	claude 2.1.267	listed with its description in the session's skill list through the symlink into ~/.agents/skills
.claude/skills/task-observer	2026-09-10	claude 2.1.267	listed with its description in the session's skill list (the thin wrapper's frontmatter, shared body via shared-instructions.md)
.claude/skills/evidence-ladder	2026-09-10	claude 2.1.267	listed with its description in the session's skill list through the symlink into ~/.agents/skills
